auto;date comment;comment
Mercedes CLC 2008	;	22.01.2018	;	Машина эгоист, для двух пассажиров. Крупному человеку назад сесть достаточно трудновато. Но сама машинка очень динамичная и приятная в вождении. Жена на нее пересела с Мазды. Она очень долго была под впечатлением! При своих относительно небольших габ ...
Ford Econovan 1984	;	30.11.2017	;	Великолепная модель! 16-ть лет владею автомобилем - ощущаю, что продаю Друга... Но, есть на то причины. Ломаться практически нечему. Передний разрезной мост на шкворнях, на пружинах и амортизаторах. Задний мост на рессорах. Мягкий ход. Мощный 195-сил ...
Hyundai Santa Fe 2017	;	28.11.2017	;	Круче чем БМВ
Jeep Compass 2012	;	28.11.2017	;	Стильный, брутальный, комфортный, безопасный автомобиль, идеально вписывающийся в рамки большого города и интенсивного ритма жизни.
Ford S-Max 2007	;	28.11.2017	;	Почти два года эксплуатирую данную машинку, проблем и лишних расходов не приносит, да и езжу уже не так часто, как раньше на Серене, форда взял на замену Ниссана (ударили в левую боковину зада), была работа ,водились деньги на дальние поездки в Сарат ...
BMW X3 2004	;	24.11.2017	;	Отличная тачка! Не продал бы, если не кризис... 
Citroen Berlingo 2005	;	09.11.2017	;	"Очень хороший автомобиль для поездок большой семьёй или для перевозки всевозможных грузов. Салон легко трансформируется, 2 боковые сдвижные и 2 задние распашные двери дают свободный доступ во все уголки авто(при всей ""дырявости"" кузова он о ..."
Skoda Fabia 2013	;	09.11.2017	;	Машина прекрасная! Внутри - как Тардис - больше, чем снаружи: узкая и короткая, идеально управляемая, легко припаркуется где угодно, но при этом места внутри более чем достаточно для четырех взрослых людей и для перевозки почти любых бытовых грузов ( ...
Nissan Sentra 2014	;	07.11.2017	;	"Отличная машина! Очень экономичная - максимальный расход топлива зимой при включенном климат-контроле, подогреве сидений и стекол в городском режиме не более 9.4 л/100 км.
Хорошая шумоизоляция. Прекрасная подвеска. Устойчива при входе в поворот (сра ..."
Opel Astra 2007	;	03.11.2017	;	Машина была куплена в мае 2013 года,с пробегом 100000км  в комплектации Космо. На текущий момент пробег 185000. Интересовали параметры - клиренс и багажник, оба параметра были принципиальны. Багажник у машинки большой, вместительный, даже если не кла ...
